species,input_area,M_method,M_estimate,version,method_or_source
sandpaper skate,BC,lvb,NA,1,NA
sandpaper skate,BS,amax,NA,1,NA
sandpaper skate,BS,gsi,NA,1,NA
sandpaper skate,BS,lvb,NA,1,NA
sandpaper skate,GOA,amax,NA,1,NA
sandpaper skate,GOA,gsi,NA,1,NA
sandpaper skate,GOA,lvb,NA,1,NA
sandpaper skate,multi_region,amax,0.4153846153846154,1,Ebert et al. 2007
sandpaper skate,multi_region,gsi,NA,1,NA
sandpaper skate,multi_region,lvb,NA,1,NA
sandpaper skate,NWP,amax,NA,1,NA
sandpaper skate,NWP,gsi,NA,1,NA
sandpaper skate,NWP,lvb,NA,1,NA
sandpaper skate,WC,amax,0.31764705882352945,1,Perez 2010
sandpaper skate,WC,gsi,NA,1,NA
sandpaper skate,WC,lvb,0.34891850158940085,1,Perez 2010
spiny dogfish,BC,amax,0.07714285714285715,1,Smith 1998 (Hoenig 1983)
spiny dogfish,BC,amax,0.06666666666666667,2,Saunders and McFarlane 1993
spiny dogfish,BC,amax,0.05046728971962617,3,G. McFarlane (pers comm)
spiny dogfish,BC,amax,0.07714285714285715,4,Smith 1998
spiny dogfish,BC,amax,0.08181818181818182,5,Munk 2001
spiny dogfish,BC,gsi,NA,1,NA
spiny dogfish,BC,lvb,0.06613646013561561,1,Ketchen 1972
spiny dogfish,BC,lvb,0.0873851784082693,2,Saunders and McFarlane 1993
spiny dogfish,BS,amax,NA,1,NA
spiny dogfish,BS,gsi,NA,1,NA
spiny dogfish,BS,lvb,NA,1,NA
spiny dogfish,GOA,amax,0.1125,1,C Tribuzio per observation
spiny dogfish,GOA,gsi,0.07268,1,Tribuzio and Kruse 2012
spiny dogfish,GOA,lvb,0.07145444736366352,1,Tribuzio et al. 2010
spiny dogfish,GOA,lvb,0.07145444736366352,2,Tribuzio 2010
spiny dogfish,multi_region,amax,NA,1,NA
spiny dogfish,multi_region,gsi,NA,1,NA
spiny dogfish,multi_region,lvb,NA,1,NA
spiny dogfish,NWP,amax,NA,1,NA
spiny dogfish,NWP,gsi,NA,1,NA
spiny dogfish,NWP,lvb,NA,1,NA
spiny dogfish,WC,amax,0.06136363636363637,1,AFSC max age
spiny dogfish,WC,amax,0.06617647058823531,2,AFSC mean top 5
spiny dogfish,WC,gsi,NA,1,NA
spiny dogfish,WC,lvb,0.04411641127383113,1,Richards 2005
whiteblotched skate,BC,amax,NA,1,NA
whiteblotched skate,BC,gsi,NA,1,NA
whiteblotched skate,BC,lvb,NA,1,NA
whiteblotched skate,BS,amax,0.15000000000000002,1,Maurer 2009
whiteblotched skate,BS,amax,0.16875,2,Maurer 2009
whiteblotched skate,BS,amax,0.16363636363636364,3,Maurer 2009
whiteblotched skate,BS,gsi,NA,1,NA
whiteblotched skate,BS,lvb,0.04343933707564484,1,Maurer 2009
whiteblotched skate,BS,lvb,0.05320298064312852,2,Maurer 2009
whiteblotched skate,BS,lvb,0.06891851527554343,3,Maurer 2009
whiteblotched skate,GOA,amax,NA,1,NA
whiteblotched skate,GOA,gsi,NA,1,NA
whiteblotched skate,GOA,lvb,NA,1,NA
whiteblotched skate,multi_region,amax,NA,1,NA
whiteblotched skate,multi_region,gsi,NA,1,NA
whiteblotched skate,multi_region,lvb,NA,1,NA
whiteblotched skate,NWP,amax,NA,1,NA
whiteblotched skate,NWP,gsi,NA,1,NA
whiteblotched skate,NWP,lvb,NA,1,NA
whiteblotched skate,WC,amax,NA,1,NA
whiteblotched skate,WC,gsi,NA,1,NA
whiteblotched skate,WC,lvb,NA,1,NA
whitebrow skate,BC,amax,NA,1,NA
whitebrow skate,BC,gsi,NA,1,NA
whitebrow skate,BC,lvb,NA,1,NA
whitebrow skate,BS,amax,0.14594594594594595,1,Ainsley 2011
whitebrow skate,BS,gsi,NA,1,NA
whitebrow skate,BS,lvb,0.03708059917616137,1,Ainsley 2011
whitebrow skate,GOA,amax,NA,1,NA
whitebrow skate,GOA,gsi,NA,1,NA
whitebrow skate,GOA,lvb,NA,1,NA
whitebrow skate,multi_region,amax,NA,1,NA
whitebrow skate,multi_region,gsi,NA,1,NA
whitebrow skate,multi_region,lvb,NA,1,NA
whitebrow skate,NWP,amax,NA,1,NA
whitebrow skate,NWP,gsi,NA,1,NA
whitebrow skate,NWP,lvb,NA,1,NA
whitebrow skate,WC,amax,NA,1,NA
whitebrow skate,WC,gsi,NA,1,NA
whitebrow skate,WC,lvb,NA,1,NA
